id;id_user;id_term;contrast_text;event_stamp
"cnt_4ded129f8c996";"usr_4de5345b3b6a8";"tsk_4a57abb949a6a";"identity detection";"2011-06-06 17:47:11"
"cnt_4ded1fc8db0c2";"usr_4de5345b3b6a8";"tsk_4a57abb949a78";"score";"2011-06-06 18:43:20"
"cnt_4ded2a911252c";"usr_4de5345b3b6a8";"trm_4c898f079d05e";"% rhythm maintainance";"2011-06-06 19:29:21"
"cnt_4ded2aa1ea79d";"usr_4de5345b3b6a8";"trm_4c898f079d05e";"tap speed";"2011-06-06 19:29:37"
"cnt_4ded2ba5e3681";"usr_4de5345b3b6a8";"trm_4c898f079d05e";"rhythm tap";"2011-06-06 19:33:57"
"cnt_4ded2bceeda6b";"usr_4de5345b3b6a8";"trm_4c898f079d05e";"time tap";"2011-06-06 19:34:38"
"cnt_4ded3a95a6098";"usr_4de5345b3b6a8";"trm_4c898f72228f3";"fixation time below maximum degree of eye movement";"2011-06-06 20:37:41"
"cnt_4ded3b16cdb74";"usr_4de5345b3b6a8";"trm_4c898f72228f3";"degree of eye movement";"2011-06-06 20:39:50"
"cnt_4ded480d5aec0";"usr_4de5345b3b6a8";"tsk_4a57abb949a85";"length of longest correct sequence";"2011-06-06 21:35:09"
"cnt_4ded4b345f82a";"usr_4de5345b3b6a8";"trm_4c898fc6722f4";"emotion manipulation versus control";"2011-06-06 21:48:36"
"cnt_4ded4b7c49083";"usr_4de5345b3b6a8";"trm_4c898fc6722f4";"category list";"2011-06-06 21:49:48"
"cnt_4ded4dc5b5118";"usr_4de5345b3b6a8";"tsk_4a57abb949a93";"stop minus go";"2011-06-06 21:59:33"
"cnt_4ded518b33a0b";"usr_4de5345b3b6a8";"trm_4c898ff0bea97";"response time";"2011-06-06 22:15:39"
"cnt_4ded51930eba6";"usr_4de5345b3b6a8";"trm_4c898ff0bea97";"kinematics";"2011-06-06 22:15:47"
"cnt_4ded542c8c4f8";"usr_4de5345b3b6a8";"tsk_4a57abb949aa1";"sum of rate, accuracy, fluency, and comprehension scaled scores";"2011-06-06 22:26:52"
"cnt_4ded60eb3a50f";"usr_4de5345b3b6a8";"tsk_4a57abb949aae";"accuracy";"2011-06-06 23:21:15"
"cnt_4dee50b24d8c4";"usr_4de5345b3b6a8";"trm_4c899005b11d5";"real task time minus imagined task time";"2011-06-07 16:24:18"
"cnt_4dee50d11696f";"usr_4de5345b3b6a8";"trm_4c899005b11d5";"real task areas of activation minus imagined task areas of activation";"2011-06-07 16:24:49"
"cnt_4dee50e19a0a5";"usr_4de5345b3b6a8";"trm_4c899005b11d5";"real task effort minus imagined task effort";"2011-06-07 16:25:05"
"cnt_4dee551d3a46b";"usr_4de5345b3b6a8";"trm_4c89903149aeb";"real visual areas of activation minus imagined task areas of activation";"2011-06-07 16:43:09"
"cnt_4dee593ebfcc7";"usr_4de5345b3b6a8";"trm_4c89903149aeb";"physical representation of imagined object";"2011-06-07 17:00:46"
"cnt_4dee5f41244cc";"usr_4de5345b3b6a8";"tsk_4a57abb949abc";"number or percentage of words remembered";"2011-06-07 17:26:25"
"cnt_4dee7fcd869e8";"usr_4de5345b3b6a8";"trm_4d8a48e403c78";"accuracy of participant minus average accuracy of controls";"2011-06-07 19:45:17"
"cnt_4deeb0951bd72";"usr_4de5345b3b6a8";"tsk_4a57abb949aca";"arousal in response to picture minus baseline arousal";"2011-06-07 23:13:25"
"cnt_4deff762a9fb7";"usr_4de5345b3b6a8";"tsk_4a57abb949ad7";"accuracy of subject minus average accuracy of controls";"2011-06-08 22:27:46"
"cnt_4df108c45e041";"usr_4de5345b3b6a8";"tsk_4a57abb949a5d";"accuracy of subject minus average accuracy of controls";"2011-06-09 17:54:12"
"cnt_4df10c8ee9834";"usr_4de5345b3b6a8";"tsk_4a57abb949ae5";"response time for risky decks minus response time for advantageous decks";"2011-06-09 18:10:22"
"cnt_4df10d2fb170f";"usr_4de5345b3b6a8";"tsk_4a57abb949ae5";"accuracy of subject minus average accuracy of controls";"2011-06-09 18:13:03"
"cnt_4df10f9cbd86c";"usr_4de5345b3b6a8";"tsk_4a57abb949af3";"number of plates read correctly by controls with normal color vision minus number of plates read correctly by subject";"2011-06-09 18:23:24"
"cnt_4df114130545a";"usr_4de5345b3b6a8";"tsk_4a57abb949af3";"Transformation plates";"2011-06-09 18:42:27"
"cnt_4df1143e30adb";"usr_4de5345b3b6a8";"tsk_4a57abb949af3";"Vanishing plates";"2011-06-09 18:43:10"
"cnt_4df11498b1933";"usr_4de5345b3b6a8";"tsk_4a57abb949af3";"Hidden Digits plates";"2011-06-09 18:44:40"
"cnt_4df118fd720dd";"usr_4de5345b3b6a8";"trm_4c8990480ad0f";"MVC minus baseline";"2011-06-09 19:03:25"
